id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block by Block,Crownline,hip-hop,confident,0.80,94,0.70,0.85,0.12
12,Winter Sonata,Clara Voss,classical,melancholic,0.22,66,0.34,0.25,0.96
13,Island Sunday,Kaya Roots,reggae,uplifting,0.64,84,0.88,0.80,0.48
14,Dirt Road Memories,June Hollow,folk,nostalgic,0.31,97,0.63,0.44,0.87
15,Velvet Hour,Sable & June,r&b,romantic,0.55,102,0.76,0.78,0.37
16,Iron Cathedral,Wrathstone,metal,intense,0.94,158,0.32,0.55,0.04
17,Back Road Summer,Dusty Creek,country,nostalgic,0.45,92,0.72,0.58,0.76
18,Stay a Little Longer,Mara Soul,soul,romantic,0.50,88,0.80,0.65,0.62
19,Pulse City,Raveyard,electronic,energetic,0.89,138,0.66,0.92,0.08
20,Bedroom Window,The Static Keys,indie rock,melancholic,0.56,104,0.44,0.60,0.42
21,Slow Burn Blues,Hattie Mae,blues,sad,0.33,72,0.38,0.42,0.85
22,Fuego Libre,Sol Menor,latin,uplifting,0.82,116,0.90,0.88,0.28
23,Get On Up,Groove Unit,funk,confident,0.76,108,0.85,0.86,0.30
24,Glass Half Empty,Neon Echo,pop,moody,0.62,106,0.42,0.68,0.25
25,Deep Space Drift,Orbit Bloom,ambient,focused,0.24,58,0.68,0.35,0.94
